gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0587.genes.results
Icenc-SB0587_TumD53_Icenc-SB0587,Nontoxin,Nontoxin,88.39
Icenc-SB0587_tubulinb4B_Icenc-SB0587,Nontoxin,Nontoxin,173.8
Icenc-SB0587_Tubulin-g2_Icenc-SB0587,Nontoxin,Nontoxin,9.83
Icenc-SB0587_Tubulin-g_Icenc-SB0587,Nontoxin,Nontoxin,35.61
Icenc-SB0587_Tubulin-b5_Icenc-SB0587,Nontoxin,Nontoxin,187.66
Icenc-SB0587_Tubulin-a4A_Icenc-SB0587,Nontoxin,Nontoxin,337.84
Icenc-SB0587_Tubulin-a1C_Icenc-SB0587,Nontoxin,Nontoxin,300.25
Icenc-SB0587_Tubulin-a1B_Icenc-SB0587,Nontoxin,Nontoxin,383.82
Icenc-SB0587_TubNephAnt_Icenc-SB0587,Nontoxin,Nontoxin,5.09
Icenc-SB0587_TubFoldingCoFactB_Icenc-SB0587,Nontoxin,Nontoxin,144.22
Icenc-SB0587_TubChaperoneE_Icenc-SB0587,Nontoxin,Nontoxin,27.27
Icenc-SB0587_TubChaperoneA_Icenc-SB0587,Nontoxin,Nontoxin,131.91
Icenc-SB0587_TSSC4_Icenc-SB0587,Nontoxin,Nontoxin,100.49
Icenc-SB0587_TSR2_Icenc-SB0587,Nontoxin,Nontoxin,15.31
Icenc-SB0587_TSC22-3_Icenc-SB0587,Nontoxin,Nontoxin,33.76
Icenc-SB0587_TrypRch_Icenc-SB0587,Nontoxin,Nontoxin,27.99
Icenc-SB0587_Tropomyosin3-g_Icenc-SB0587,Nontoxin,Nontoxin,97.53
Icenc-SB0587_Tropomodulin3_Icenc-SB0587,Nontoxin,Nontoxin,86.88
Icenc-SB0587_tRNAwybSyn5_Icenc-SB0587,Nontoxin,Nontoxin,28.67
Icenc-SB0587_tRNASynthesizing1_Icenc-SB0587,Nontoxin,Nontoxin,25.72
Icenc-SB0587_tRNASelenocysteine1_Icenc-SB0587,Nontoxin,Nontoxin,139.63
Icenc-SB0587_tRNAPsuedoUridine_Icenc-SB0587,Nontoxin,Nontoxin,21.85
Icenc-SB0587_TRIQK_Icenc-SB0587,Nontoxin,Nontoxin,17.77
